zipf_s,budget_frac,seed,resident_entry_epochs_partial,resident_entry_epochs_full,rows_touched_partial,rows_touched_full,deltas_partial,deltas_full,hit_rate
0.5,0.1,2024,2840854,16910174,31852,10077,1009,3886,0.1815
0.7,0.1,1,2931503,15200887,27699,8838,1914,4237,0.3232
0.7,0.1,7,2986192,15707087,27472,8853,1985,4345,0.3232
0.7,0.1,42,2948324,15612099,27212,8747,1975,4341,0.3259
0.7,0.1,100,2917311,15198073,27606,8839,1925,4209,0.3252
0.7,0.1,2024,2831387,14508963,27596,8809,1891,4073,0.3285
0.9,0.1,1,2906769,11560348,17749,6857,3286,4613,0.5520
0.9,0.1,7,2961477,12016036,17881,6813,3363,4738,0.5462
0.9,0.1,42,2930592,11914649,17512,6778,3347,4695,0.5517
0.9,0.1,100,2894952,11531211,17255,6795,3291,4581,0.5540
0.9,0.1,2024,2810838,11100707,17809,6831,3223,4469,0.5527
1.1,0.1,1,2829697,7276091,7932,4454,4593,5091,0.7727
1.1,0.1,7,2893228,7595913,8116,4376,4703,5215,0.7692
1.1,0.1,42,2868695,7497585,7902,4326,4667,5139,0.7718
1.1,0.1,100,2827940,7281624,7872,4351,4581,5061,0.7739
1.1,0.1,2024,2745403,6959021,8033,4390,4498,4929,0.7727
1.3,0.1,1,2608338,3878426,2877,2361,5437,5531,0.9069
1.3,0.1,7,2686047,4041423,2858,2325,5532,5619,0.9070
1.3,0.1,42,2655751,3993764,2865,2305,5462,5539,0.9066
1.3,0.1,100,2621570,3885194,2865,2340,5376,5466,0.9082
1.3,0.1,2024,2533247,3699634,2888,2315,5262,5338,0.9072
0.5,0.25,1,7054866,17547267,23263,10082,2089,4040,0.3529
0.5,0.25,7,7228790,18224691,23112,9993,2132,4177,0.3532
0.5,0.25,42,7154562,18073420,23053,9988,2189,4116,0.3555
0.5,0.25,100,7053664,17559969,23224,10025,2120,4029,0.3524
0.5,0.25,2024,6848450,16910174,23232,10077,2054,3886,0.3549
0.7,0.25,1,6974637,15200887,17570,8838,2960,4237,0.4994
0.7,0.25,7,7142715,15707087,17608,8853,3041,4345,0.4986
0.7,0.25,42,7077793,15612099,17398,8747,3084,4341,0.5019
0.7,0.25,100,6975190,15198073,17223,8839,3036,4209,0.5053
0.7,0.25,2024,6766095,14508963,17362,8809,2924,4073,0.5054
0.9,0.25,1,6727682,11560348,10307,6857,4068,4613,0.6854
0.9,0.25,7,6919678,12016036,10350,6813,4158,4738,0.6828
0.9,0.25,42,6849423,11914649,10249,6778,4143,4695,0.6853
0.9,0.25,100,6749069,11531211,10109,6795,4065,4581,0.6889
0.9,0.25,2024,6550256,11100707,10315,6831,3981,4469,0.6868
1.1,0.25,1,6011351,7276091,4955,4454,5020,5091,0.8376
1.1,0.25,7,6255329,7595913,4894,4376,5130,5215,0.8385
1.1,0.25,42,6165386,7497585,4828,4326,5054,5139,0.8389
1.1,0.25,100,6050737,7281624,4810,4351,4975,5061,0.8413
1.1,0.25,2024,5852717,6959021,4846,4390,4867,4929,0.8409
1.3,0.25,1,3878426,3878426,2361,2361,5531,5531,0.9200
1.3,0.25,7,4041423,4041423,2325,2325,5619,5619,0.9208
1.3,0.25,42,3993764,3993764,2305,2305,5539,5539,0.9214
1.3,0.25,100,3885194,3885194,2340,2340,5466,5466,0.9211
1.3,0.25,2024,3699634,3699634,2315,2315,5338,5338,0.9218
0.5,0.5,1,12925054,17547267,15082,10082,3275,4040,0.5508
0.5,0.5,7,13346976,18224691,15062,9993,3406,4177,0.5508
0.5,0.5,42,13215704,18073420,15024,9988,3338,4116,0.5498
0.5,0.5,100,12988717,17559969,14832,10025,3319,4029,0.5562
0.5,0.5,2024,12583319,16910174,14937,10077,3198,3886,0.5570
0.7,0.5,1,12394857,15200887,11004,8838,3915,4237,0.6571
0.7,0.5,7,12823488,15707087,10979,8853,3983,4345,0.6574
0.7,0.5,42,12704256,15612099,10962,8747,3977,4341,0.6552
0.7,0.5,100,12444434,15198073,10944,8839,3907,4209,0.6580
0.7,0.5,2024,12031344,14508963,10979,8809,3794,4073,0.6600
0.9,0.5,1,10973961,11560348,7134,6857,4574,4613,0.7657
0.9,0.5,7,11420324,12016036,7077,6813,4699,4738,0.7660
0.9,0.5,42,11299856,11914649,7064,6778,4661,4695,0.7658
0.9,0.5,100,10993399,11531211,7022,6795,4536,4581,0.7682
0.9,0.5,2024,10599561,11100707,7120,6831,4423,4469,0.7669
1.1,0.5,1,7276091,7276091,4454,4454,5091,5091,0.8513
1.1,0.5,7,7595913,7595913,4376,4376,5215,5215,0.8523
1.1,0.5,42,7497585,7497585,4326,4326,5139,5139,0.8530
1.1,0.5,100,7281624,7281624,4351,4351,5061,5061,0.8533
1.1,0.5,2024,6959021,6959021,4390,4390,4929,4929,0.8535
1.3,0.5,1,3878426,3878426,2361,2361,5531,5531,0.9200
1.3,0.5,7,4041423,4041423,2325,2325,5619,5619,0.9208
1.3,0.5,42,3993764,3993764,2305,2305,5539,5539,0.9214
1.3,0.5,100,3885194,3885194,2340,2340,5466,5466,0.9211
1.3,0.5,2024,3699634,3699634,2315,2315,5338,5338,0.9218
